"","values","ind"
"1",972.306830549166,"Naive"
"2",971.925993169118,"Naive"
"3",964.898632295184,"Naive"
"4",1008.81257308343,"Naive"
"5",975.132870189597,"Naive"
"6",990.439191006762,"Naive"
"7",958.688998093116,"Naive"
"8",1065.85430545878,"Naive"
"9",935.221256549069,"Naive"
"10",969.194720922103,"Naive"
"11",962.536957139957,"Naive"
"12",927.007709108604,"Naive"
"13",978.635550470788,"Naive"
"14",995.947830394759,"Naive"
"15",930.808477600172,"Naive"
"16",962.11664251461,"Naive"
"17",962.667296020077,"Naive"
"18",985.978430957271,"Naive"
"19",937.801946413548,"Naive"
"20",909.684097812637,"Naive"
"21",1000.56362164892,"Naive"
"22",986.860620107866,"Naive"
"23",970.410952795403,"Naive"
"24",969.617109553113,"Naive"
"25",1023.7470420188,"Naive"
"26",930.966591685673,"Naive"
"27",937.328700084997,"Naive"
"28",1024.23376651357,"Naive"
"29",941.747558434119,"Naive"
"30",933.14241620531,"Naive"
"31",981.366365336669,"Naive"
"32",986.675715134855,"Naive"
"33",1057.51178219266,"Naive"
"34",1002.98227474165,"Naive"
"35",973.280655299909,"Naive"
"36",989.641958016927,"Naive"
"37",980.200574863635,"Naive"
"38",921.24037264689,"Naive"
"39",921.366337968703,"Naive"
"40",953.636925729097,"Naive"
"41",998.330373097281,"Naive"
"42",985.331783910016,"Naive"
"43",962.025549154475,"Naive"
"44",946.746062397748,"Naive"
"45",1019.95645152657,"Naive"
"46",1042.87275678546,"Naive"
"47",958.613484828537,"Naive"
"48",943.765202016443,"Naive"
"49",962.897263581224,"Naive"
"50",968.196516421636,"Naive"
"51",935.429527303004,"Naive"
"52",991.053495346985,"Naive"
"53",969.650740639258,"Naive"
"54",976.873822857572,"Naive"
"55",956.439749358268,"Naive"
"56",944.815667874054,"Naive"
"57",969.934418774048,"Naive"
"58",941.935217533571,"Naive"
"59",1005.1946115966,"Naive"
"60",1001.84553341031,"Naive"
"61",922.217715058633,"Naive"
"62",981.627029059367,"Naive"
"63",976.36914896508,"Naive"
"64",964.217210849655,"Naive"
"65",989.337700867561,"Naive"
"66",954.204352703645,"Naive"
"67",953.745941800415,"Naive"
"68",993.64871552982,"Naive"
"69",1008.45001990452,"Naive"
"70",973.035171188154,"Naive"
"71",987.438553477548,"Naive"
"72",960.863233992737,"Naive"
"73",947.325372007634,"Naive"
"74",942.813226693684,"Naive"
"75",1038.91737771816,"Naive"
"76",946.374827395663,"Naive"
"77",985.056403825071,"Naive"
"78",944.277768810584,"Naive"
"79",974.062595238992,"Naive"
"80",930.19536865635,"Naive"
"81",992.511053600353,"Naive"
"82",1009.46238093724,"Naive"
"83",984.641198236366,"Naive"
"84",988.014973770804,"Naive"
"85",990.913593179487,"Naive"
"86",981.732508245669,"Naive"
"87",963.517808624064,"Naive"
"88",964.5927593251,"Naive"
"89",1031.18532426599,"Naive"
"90",1002.21803288876,"Naive"
"91",988.019184207353,"Naive"
"92",922.527886197396,"Naive"
"93",955.778393961496,"Naive"
"94",940.331726736262,"Naive"
"95",1032.21402392404,"Naive"
"96",962.329406617362,"Naive"
"97",999.029863307289,"Naive"
"98",944.924588457101,"Naive"
"99",978.902012546124,"Naive"
"100",1023.70714338435,"Naive"
"101",981.16146986771,"PostProcessed"
"102",966.694719910279,"PostProcessed"
"103",980.061211837848,"PostProcessed"
"104",987.703119048431,"PostProcessed"
"105",968.514966107844,"PostProcessed"
"106",962.052648865514,"PostProcessed"
"107",976.826950668832,"PostProcessed"
"108",1025.16495737296,"PostProcessed"
"109",961.168874642642,"PostProcessed"
"110",978.429114393149,"PostProcessed"
"111",969.29003136349,"PostProcessed"
"112",975.743308876399,"PostProcessed"
"113",992.707367950681,"PostProcessed"
"114",980.940766753622,"PostProcessed"
"115",958.982472633301,"PostProcessed"
"116",982.192776637353,"PostProcessed"
"117",971.638974354179,"PostProcessed"
"118",998.056827983022,"PostProcessed"
"119",968.795328683976,"PostProcessed"
"120",964.61918962959,"PostProcessed"
"121",961.691056955514,"PostProcessed"
"122",960.471229804975,"PostProcessed"
"123",1013.26826438317,"PostProcessed"
"124",969.713995829519,"PostProcessed"
"125",970.32912864072,"PostProcessed"
"126",982.53111286142,"PostProcessed"
"127",970.659857607512,"PostProcessed"
"128",962.052469119679,"PostProcessed"
"129",967.646195589651,"PostProcessed"
"130",959.756023935138,"PostProcessed"
"131",979.993901234354,"PostProcessed"
"132",968.360527726234,"PostProcessed"
"133",959.503298660499,"PostProcessed"
"134",965.754636953971,"PostProcessed"
"135",980.385461381701,"PostProcessed"
"136",995.39246566568,"PostProcessed"
"137",966.064569522243,"PostProcessed"
"138",982.391268721988,"PostProcessed"
"139",984.551048231366,"PostProcessed"
"140",965.828636268166,"PostProcessed"
"141",969.678370764714,"PostProcessed"
"142",964.131662691162,"PostProcessed"
"143",976.336660391818,"PostProcessed"
"144",974.272031537685,"PostProcessed"
"145",980.485048763666,"PostProcessed"
"146",970.340762148105,"PostProcessed"
"147",964.545767665151,"PostProcessed"
"148",961.146494505415,"PostProcessed"
"149",952.42991988426,"PostProcessed"
"150",967.609845637154,"PostProcessed"
"151",963.386231301286,"PostProcessed"
"152",981.101781132915,"PostProcessed"
"153",981.332338498628,"PostProcessed"
"154",977.982631208152,"PostProcessed"
"155",952.547990873629,"PostProcessed"
"156",966.54074573332,"PostProcessed"
"157",978.337572783084,"PostProcessed"
"158",973.310010688693,"PostProcessed"
"159",991.657874643511,"PostProcessed"
"160",972.752699573055,"PostProcessed"
"161",969.91941958337,"PostProcessed"
"162",964.125322553895,"PostProcessed"
"163",962.17273958894,"PostProcessed"
"164",968.344525716651,"PostProcessed"
"165",972.574235132129,"PostProcessed"
"166",967.645285938203,"PostProcessed"
"167",988.142415011342,"PostProcessed"
"168",994.951714804147,"PostProcessed"
"169",984.880295150496,"PostProcessed"
"170",983.486270341407,"PostProcessed"
"171",968.879290890271,"PostProcessed"
"172",963.027333982317,"PostProcessed"
"173",969.79080490398,"PostProcessed"
"174",974.020965321501,"PostProcessed"
"175",971.073650885976,"PostProcessed"
"176",974.316762979337,"PostProcessed"
"177",964.782354687718,"PostProcessed"
"178",970.053851101744,"PostProcessed"
"179",962.771513211824,"PostProcessed"
"180",970.840909824528,"PostProcessed"
"181",966.863545120303,"PostProcessed"
"182",974.084830088762,"PostProcessed"
"183",960.585715317276,"PostProcessed"
"184",973.426364689949,"PostProcessed"
"185",964.535124400559,"PostProcessed"
"186",985.748657739794,"PostProcessed"
"187",975.479792231626,"PostProcessed"
"188",972.992275358546,"PostProcessed"
"189",973.335065777575,"PostProcessed"
"190",985.115023661058,"PostProcessed"
"191",966.841163255482,"PostProcessed"
"192",963.504680813081,"PostProcessed"
"193",975.872648173053,"PostProcessed"
"194",968.569877812016,"PostProcessed"
"195",969.287884266804,"PostProcessed"
"196",981.991850010857,"PostProcessed"
"197",963.434469935328,"PostProcessed"
"198",972.179665113776,"PostProcessed"
"199",982.317497697577,"PostProcessed"
"200",976.240849754956,"PostProcessed"
"201",970.106654196415,"ConstrainedPosterior"
"202",965.200813494702,"ConstrainedPosterior"
"203",970.530788943909,"ConstrainedPosterior"
"204",975.082283932592,"ConstrainedPosterior"
"205",969.273775476244,"ConstrainedPosterior"
"206",966.943442519544,"ConstrainedPosterior"
"207",971.55020259421,"ConstrainedPosterior"
"208",1005.28651251199,"ConstrainedPosterior"
"209",966.04782543136,"ConstrainedPosterior"
"210",971.838358301898,"ConstrainedPosterior"
"211",965.774185837418,"ConstrainedPosterior"
"212",967.164978306452,"ConstrainedPosterior"
"213",986.695914507386,"ConstrainedPosterior"
"214",965.314199399141,"ConstrainedPosterior"
"215",964.840230203092,"ConstrainedPosterior"
"216",970.622827907951,"ConstrainedPosterior"
"217",964.635588061598,"ConstrainedPosterior"
"218",971.722417712349,"ConstrainedPosterior"
"219",965.665383620634,"ConstrainedPosterior"
"220",976.143872160418,"ConstrainedPosterior"
"221",973.830387999444,"ConstrainedPosterior"
"222",968.147388886476,"ConstrainedPosterior"
"223",979.773773722351,"ConstrainedPosterior"
"224",965.762396898801,"ConstrainedPosterior"
"225",979.465984645498,"ConstrainedPosterior"
"226",966.8673710242,"ConstrainedPosterior"
"227",968.50655749065,"ConstrainedPosterior"
"228",979.085340406509,"ConstrainedPosterior"
"229",967.918929916286,"ConstrainedPosterior"
"230",965.261697214896,"ConstrainedPosterior"
"231",975.363568171696,"ConstrainedPosterior"
"232",964.392660509512,"ConstrainedPosterior"
"233",982.798794847772,"ConstrainedPosterior"
"234",969.979680931257,"ConstrainedPosterior"
"235",979.712108054592,"ConstrainedPosterior"
"236",983.714824067251,"ConstrainedPosterior"
"237",966.225925418447,"ConstrainedPosterior"
"238",968.87528547352,"ConstrainedPosterior"
"239",967.354162865156,"ConstrainedPosterior"
"240",989.380877789174,"ConstrainedPosterior"
"241",972.980560657953,"ConstrainedPosterior"
"242",965.15995583541,"ConstrainedPosterior"
"243",966.492645330055,"ConstrainedPosterior"
"244",964.83769819933,"ConstrainedPosterior"
"245",968.174982985003,"ConstrainedPosterior"
"246",983.722976652105,"ConstrainedPosterior"
"247",964.622843470224,"ConstrainedPosterior"
"248",965.36747491999,"ConstrainedPosterior"
"249",966.023063015286,"ConstrainedPosterior"
"250",970.035331965163,"ConstrainedPosterior"
"251",971.806633611129,"ConstrainedPosterior"
"252",964.886642022283,"ConstrainedPosterior"
"253",970.174121838273,"ConstrainedPosterior"
"254",964.668557393781,"ConstrainedPosterior"
"255",966.028142275449,"ConstrainedPosterior"
"256",965.271032079368,"ConstrainedPosterior"
"257",964.330886000839,"ConstrainedPosterior"
"258",965.199552704769,"ConstrainedPosterior"
"259",991.074215809792,"ConstrainedPosterior"
"260",969.272053043673,"ConstrainedPosterior"
"261",965.117047053157,"ConstrainedPosterior"
"262",967.128210488806,"ConstrainedPosterior"
"263",970.572432738583,"ConstrainedPosterior"
"264",969.164306419381,"ConstrainedPosterior"
"265",966.909344204227,"ConstrainedPosterior"
"266",966.067062595492,"ConstrainedPosterior"
"267",983.787324318074,"ConstrainedPosterior"
"268",965.289724542495,"ConstrainedPosterior"
"269",971.807496836912,"ConstrainedPosterior"
"270",980.498186351302,"ConstrainedPosterior"
"271",965.809744806366,"ConstrainedPosterior"
"272",969.881637939865,"ConstrainedPosterior"
"273",965.011794413133,"ConstrainedPosterior"
"274",965.224956392293,"ConstrainedPosterior"
"275",976.428886729108,"ConstrainedPosterior"
"276",971.388752568008,"ConstrainedPosterior"
"277",964.710109785274,"ConstrainedPosterior"
"278",967.171135793553,"ConstrainedPosterior"
"279",967.52822740259,"ConstrainedPosterior"
"280",971.981672893208,"ConstrainedPosterior"
"281",966.056386363558,"ConstrainedPosterior"
"282",992.725703962221,"ConstrainedPosterior"
"283",969.518534553899,"ConstrainedPosterior"
"284",979.188493863196,"ConstrainedPosterior"
"285",972.398961339376,"ConstrainedPosterior"
"286",969.149775049927,"ConstrainedPosterior"
"287",969.178618704016,"ConstrainedPosterior"
"288",964.703480315891,"ConstrainedPosterior"
"289",983.805979559037,"ConstrainedPosterior"
"290",996.529412216088,"ConstrainedPosterior"
"291",973.200374091555,"ConstrainedPosterior"
"292",970.003695413888,"ConstrainedPosterior"
"293",967.774349215181,"ConstrainedPosterior"
"294",970.262853837329,"ConstrainedPosterior"
"295",980.127089226994,"ConstrainedPosterior"
"296",964.488233475397,"ConstrainedPosterior"
"297",978.61523445894,"ConstrainedPosterior"
"298",965.666890385596,"ConstrainedPosterior"
"299",964.835517552366,"ConstrainedPosterior"
"300",967.104651900895,"ConstrainedPosterior"
